时间,内容,类型,社团/表演者,补充说明,时长
15:53:26-15:56:41,蓝色同位素BURUASO乐队 - 海と花束,乐队演出,蓝色同位素BURUASO乐队（七域）,,3分钟15秒
15:56:41-15:58:41,转场：乐队→合作曲准备,转场,—,,2分钟0秒
15:58:41-16:03:06,蓝色同位素BURUASO乐队+深蓝部分乐队 - Love2000,乐队合作演出,蓝色同位素BURUASO乐队+深蓝部分乐队,,4分钟25秒
16:03:06-16:05:06,转场：合作→深蓝部分乐队,转场,—,,2分钟0秒
16:05:06-16:08:56,深蓝部分乐队 - 希望有羽毛和翅膀,乐队演出,深蓝部分乐队（深蓝）,,3分钟50秒
16:08:56-16:14:02,深蓝部分乐队 - 新宝岛,乐队演出,深蓝部分乐队（深蓝）,,5分钟6秒
16:14:02-16:18:18,深蓝部分乐队 - 光るなら（若能成为光）,乐队演出,深蓝部分乐队（深蓝）,,4分钟16秒
16:18:18-16:20:18,转场：乐队→夜之海乐队,转场,—,,2分钟0秒
16:20:18-16:25:08,夜之海乐队 - Ref：rain,乐队演出,夜之海乐队（七域）,,4分钟50秒
16:25:08-16:29:03,夜之海乐队 - リライト（rewrite）,乐队演出,夜之海乐队（七域）,,3分钟55秒
16:29:03-16:33:18,夜之海乐队 - ワールドイズマイン（世界第一的公主殿下）,乐队演出,夜之海乐队（七域）,,4分钟15秒
16:33:18-16:35:18,转场：夜之海乐队→云之彼方乐队,转场,—,,2分钟0秒
16:35:18-16:38:43,云之彼方乐队 - 深海少女,乐队演出,云之彼方乐队（云之彼方）,,3分钟25秒
16:38:43-16:43:08,云之彼方乐队 - スーパースターになったら（若能成为超级巨星）,乐队演出,云之彼方乐队（云之彼方）,,4分钟25秒
16:43:08-16:45:00,演出结束缓冲时间,—,,,1分钟52秒
